,home,score
1804,Barbados,120.84615384615384
1805,Trinidad & Tobago,141.2
1807,Sussex,157.33333333333334
1810,Warwickshire,157.925
1813,Hampshire,161.79591836734693
1814,Worcestershire,168.05882352941177
1816,Glamorgan,145.3548387096774
1820,Glamorgan,145.3548387096774
1822,Lancashire,154.05769230769232
1825,Yorkshire,158.0
1832,Nottinghamshire,165.47058823529412
1833,Northamptonshire,163.0810810810811
1840,Hampshire,161.79591836734693
1841,Nottinghamshire,165.47058823529412
1844,Middlesex,150.66666666666666
1845,Durham,155.37142857142857
1846,Middlesex,150.66666666666666
1847,Nottinghamshire,165.47058823529412
1848,Warwickshire,157.925
1851,Yorkshire,158.0
1854,Surrey,155.7906976744186
1855,Somerset,180.33333333333334
1857,Durham,155.37142857142857
1859,Sussex,157.33333333333334
1863,Lancashire,154.05769230769232
1868,Derbyshire,146.57142857142858
1869,Lancashire,154.05769230769232
1870,Surrey,155.7906976744186
1871,Yorkshire,158.0
1876,Sussex,157.33333333333334
1877,Yorkshire,158.0
1878,Middlesex,150.66666666666666
1880,Somerset,180.33333333333334
1881,Warwickshire,157.925
1882,Worcestershire,168.05882352941177
1883,Nottinghamshire,165.47058823529412
1884,Hampshire,161.79591836734693
1885,Essex,167.3409090909091
1886,Glamorgan,145.3548387096774
1887,Northamptonshire,163.0810810810811
1889,Nottinghamshire,165.47058823529412
1891,Worcestershire,168.05882352941177
1892,Gloucestershire,154.63636363636363
1894,Somerset,180.33333333333334
1896,Hampshire,161.79591836734693
1898,Gloucestershire,154.63636363636363
1901,Surrey,155.7906976744186
1904,Derbyshire,146.57142857142858
1905,Essex,167.3409090909091
1907,Somerset,180.33333333333334
1910,Kent,157.525
1911,Lancashire,154.05769230769232
1915,Somerset,180.33333333333334
1917,Lancashire,154.05769230769232
1918,Glamorgan,145.3548387096774
1925,Worcestershire,168.05882352941177
1927,Kent,157.525
1929,Lancashire,154.05769230769232
1930,Warwickshire,157.925
1933,Northamptonshire,163.0810810810811
1934,Essex,167.3409090909091
1937,Warwickshire,157.925
1942,Nottinghamshire,165.47058823529412
1950,Hampshire,161.79591836734693
1952,Nottinghamshire,165.47058823529412
1953,Somerset,180.33333333333334
1954,Essex,167.3409090909091
1955,Hampshire,161.79591836734693
1957,Hampshire,161.79591836734693
1958,England,157.76470588235293
1959,England,157.76470588235293
1960,Lions,154.02702702702703
1961,Warriors,145.0857142857143
1964,Royal Challengers Bangalore,163.95744680851064
1965,Warriors,145.0857142857143
1968,Chennai Super Kings,167.34426229508196
1973,Lions,154.02702702702703
1974,Mumbai Indians,166.9090909090909
1975,Victoria,167.41666666666666
1979,Chennai Super Kings,167.34426229508196
1980,Chennai Super Kings,167.34426229508196
1981,Warriors,145.0857142857143
1983,South Africa,159.5185185185185
1984,South Africa,159.5185185185185
1985,Multan Tigers,132.125
1988,Faisalabad Wolves,149.58620689655172
1991,Hyderabad Hawks,160.28571428571428
1993,Lahore Lions,159.52631578947367
1994,Islamabad Leopards,135.33333333333334
1995,Abbottabad Falcons,139.45454545454547
1996,Lahore Lions,159.52631578947367
1997,Rawalpindi Rams,163.66666666666666
2006,West Indies A,122.6
2007,West Indies A,122.6
2008,Mashonaland Eagles,158.2941176470588
2010,Mid West Rhinos,153.42857142857142
2012,Mashonaland Eagles,158.2941176470588
2014,Mashonaland Eagles,158.2941176470588
2015,Matabeleland Tuskers,139.0
2018,Mashonaland Eagles,158.2941176470588
2019,Mid West Rhinos,153.42857142857142
2020,Matabeleland Tuskers,139.0
