,Title,Awards,Wins,Nominations,Golden Globes Won,Golden Globes Nominated,Oscars Nominated,Oscars Won,Bafta Nominated,Bafta Won,PrimeTime Won,PrimeTime Nominated
226,A Pequena Travessa,15 nominations.,[],['15'],[],[],[],[],[],[],[],[]
230,Unprecedented: The 2000 Presidential Election,2 wins.,['2'],[],[],[],[],[],[],[],[],[]
240,Happy Birthday,2 wins.,['2'],[],[],[],[],[],[],[],[],[]
244,15 Storeys High,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
256,Annemie Hülchrath - Der Talk,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
288,Abschnitt 40,7 wins & 7 nominations.,['7'],['7'],[],[],[],[],[],[],[],[]
291,Al rojo vivo con María Celeste,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
326,Hannibal: The Man Who Hated Rome,1 win.,['1'],[],[],[],[],[],[],[],[],[]
345,A Guy and a Girl,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
356,Promise Land,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
365,Ask Anna,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
374,A Jóia de África,1 win.,['1'],[],[],[],[],[],[],[],[],[]
402,La fotografia,2 wins.,['2'],[],[],[],[],[],[],[],[],[]
410,Under Suspicion,4 wins & 9 nominations.,['4'],['9'],[],[],[],[],[],[],[],[]
449,75th Annual Macy's Thanksgiving Day Parade,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
515,A Kalahari Family,1 win.,['1'],[],[],[],[],[],[],[],[],[]
545,The Lord of the Rings: The Return of the King,Won 11 Oscars. Another 174 wins & 113 nominations.,['174'],['113'],[],[],[],['11'],[],[],[],[]
547,The Fighting Temptations,4 wins & 11 nominations.,['4'],['11'],[],[],[],[],[],[],[],[]
552,Once Upon a Time in Mexico,3 wins & 4 nominations.,['3'],['4'],[],[],[],[],[],[],[],[]
553,Fear X,1 win & 5 nominations.,['1'],['5'],[],[],[],[],[],[],[],[]
556,Scary Movie 3,2 wins & 2 nominations.,['2'],['2'],[],[],[],[],[],[],[],[]
560,Imagining Argentina,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
561,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,Won 1 Oscar. Another 11 wins & 14 nominations.,['11'],['14'],[],[],[],['1'],[],[],[],[]
563,Jimmy Kimmel Live!,Won 3 Primetime Emmys. Another 44 nominations.,[],['44'],[],[],[],[],[],[],['3'],[]
564,Dickie Roberts: Former Child Star,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
567,Around the World in 80 Days,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
568,The Kiss,1 win.,['1'],[],[],[],[],[],[],[],[],[]
571,Seabiscuit,Nominated for 7 Oscars. Another 6 wins & 36 nominations.,['6'],['36'],[],[],['7'],[],[],[],[],[]
573,Saved!,1 win & 6 nominations.,['1'],['6'],[],[],[],[],[],[],[],[]
575,A Hole in One,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
576,Alienated,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
582,You're My Hero,2 wins.,['2'],[],[],[],[],[],[],[],[],[]
