Word,Count
plane,33
sign,33
want,33
nominee,33
list,33
drugs,33
working,33
super,33
player,33
joe,33
lawmakers,33
toronto,33
district,33
special,33
georgia,33
missing,32
movie,32
wall,32
lives,32
scandal,32
emergency,32
victims,32
annual,32
majority,32
andrew,32
every,32
israel,32
israeli,32
girl,32
debate,32
commission,32
budget,32
book,32
sister,32
food,32
mexican,32
wounded,32
banks,32
suicide,32
italian,32
sex,32
william,32
beach,32
together,32
main,32
backed,32
markets,32
champions,32
italy,32
search,31
taken,31
seattle,31
iowa,31
pittsburgh,31
losing,31
problems,31
maker,31
museum,31
rules,31
suspect,31
blue,31
sanders,31
started,31
good,31
couple,31
proposed,31
growing,31
militant,31
results,31
brown,31
martin,31
las,31
urged,31
hall,31
jack,31
issues,31
strikes,31
yemen,31
investors,31
almost,31
act,31
build,31
see,30
japanese,30
trading,30
ministry,30
jobs,30
remains,30
related,30
named,30
aircraft,30
mass,30
indiana,30
council,30
finance,30
name,30
served,30
calls,30
squad,30
talk,30
iraqi,30
reached,30
allow,30
africa,30
refugees,30
within,30
period,29
sea,29
mike,29
fell,29
aimed,29
green,29
soon,29
caused,29
crash,29
decade,29
canada,29
governing,29
discuss,29
prosecutor,29
fighters,29
continued,29
raise,29
forward,29
joined,29
draw,29
received,29
illegal,29
tom,29
evidence,29
always,29
brooklyn,29
pakistan,29
tournament,29
missed,29
protect,29
strike,29
cars,29
low,29
spent,29
dozens,29
spanish,29
struggling,28
opened,28
conference,28
goals,28
consider,28
protesters,28
step,28
citing,28
artist,28
airlines,28
indian,28
veteran,28
heart,28
closed,28
launch,28
ukraine,28
yet,28
reach,28
foot,28
played,28
response,28
region,28
kentucky,28
appeals,28
base,28
fighting,28
try,28
boost,28
cherished,28
loved,28
manchester,28
jail,28
believed,28
debut,28
returned,28
profit,28
seen,27
cleveland,27
newspaper,27
broke,27
technology,27
facing,27
approved,27
unit,27
heavily,27
risk,27
assault,27
forced,27
sports,27
longtime,27
brought,27
issue,27
manhattan,27
democrats,27
deaths,27
coalition,27
linked,27
lee,27
building,27
comes,27
rest,27
research,27
fatal,27
foundation,27
collection,27
struck,27
light,27
looks,27
colorado,27
fall,27
bernie,27
lawyer,27
site,27
newly,27
course,27
classic,27
allies,27
events,27
singer,27
johnson,26
guard,26
employees,26
zealand,26
flight,26
network,26
playing,26
islamist,26
penalty,26
recently,26
hotel,26
finals,26
francis,26
surrounded,26
zone,26
hour,26
climate,26
