,season,match_id,inning,batting_team,batsman,batsman_runs,balls_faced,Strike-Rate,More-Than-30,More-Than-50,More-Than-100
637,2008,43,1,Mumbai Indians,SR Tendulkar,23,19.0,121.05,0,0,0
638,2008,43,1,Mumbai Indians,ST Jayasuriya,36,15.0,240.0,1,0,0
639,2008,43,1,Mumbai Indians,YV Takawale,5,5.0,100.0,0,0,0
640,2008,43,2,Deccan Chargers,AC Gilchrist,13,16.0,81.25,0,0,0
641,2008,43,2,Deccan Chargers,DB Ravi Teja,37,27.0,137.04,1,0,0
642,2008,43,2,Deccan Chargers,DNT Zoysa,10,7.0,142.86,0,0,0
643,2008,43,2,Deccan Chargers,H Das,2,5.0,40.0,0,0,0
644,2008,43,2,Deccan Chargers,LPC Silva,17,14.0,121.43,0,0,0
645,2008,43,2,Deccan Chargers,RG Sharma,6,10.0,60.0,0,0,0
646,2008,43,2,Deccan Chargers,RP Singh,3,3.0,100.0,0,0,0
647,2008,43,2,Deccan Chargers,Shahid Afridi,0,1.0,0.0,0,0,0
648,2008,43,2,Deccan Chargers,Y Venugopal Rao,57,38.0,150.0,1,1,0
649,2008,44,1,Kolkata Knight Riders,DB Das,27,32.0,84.38,0,0,0
650,2008,44,1,Kolkata Knight Riders,DJ Hussey,0,1.0,0.0,0,0,0
651,2008,44,1,Kolkata Knight Riders,LR Shukla,13,11.0,118.18,0,0,0
652,2008,44,1,Kolkata Knight Riders,Mohammad Hafeez,6,6.0,100.0,0,0,0
653,2008,44,1,Kolkata Knight Riders,SC Ganguly,2,8.0,25.0,0,0,0
654,2008,44,1,Kolkata Knight Riders,Salman Butt,73,54.0,135.19,1,1,0
655,2008,44,1,Kolkata Knight Riders,WP Saha,15,9.0,166.67,0,0,0
656,2008,44,2,Chennai Super Kings,PA Patel,19,28.0,67.86,0,0,0
657,2008,44,2,Chennai Super Kings,SP Fleming,32,20.0,160.0,1,0,0
658,2008,45,1,Royal Challengers Bangalore,B Akhil,3,3.0,100.0,0,0,0
659,2008,45,1,Royal Challengers Bangalore,B Chipli,2,10.0,20.0,0,0,0
